	uner-name	uner-class	name	id
0	Molise	Name-Location-GPE-GPE_Other	Molise	entity_13422286
1	Radoslav Katičić	Name-Person-Name_Person	Radoslav_Katičić	entity_2848370
2	Drago Štambuk	Name-Person-Name_Person	Drago_Štambuk	entity_10646258
6	Petar Zrinski	Name-Person-Name_Person	Petar_Zrinski	entity_5622468
7	Šime Starčević	Name-Person-Name_Person	Šime_Starčević	entity_5277168
9	Džore Držić	Name-Person-Name_Person	Džore_Držić	entity_8618644
10	Petar Zoranić	Name-Person-Name_Person	Petar_Zoranić	entity_11554357
11	Planine	Name-Product-Art-Book	Planine	entity_7860018
12	Andrija Kačić Miošić	Name-Person-Name_Person	Andrija_Kačić_Miošić	entity_1915667
13	Bartol Kašić	Name-Person-Name_Person	Bartol_Kašić	entity_3984254
14	Ivan Belostenec	Name-Person-Name_Person	Ivan_Belostenec	entity_6932362
16	Đuro Daničić	Name-Person-Name_Person	Đuro_Daničić	entity_7241441
18	Miroslav Krleža	Name-Person-Name_Person	Miroslav_Krleža	entity_8306530
19	Like	Name-Location-GPE-GPE_Other	Like	entity_3189718
20	Dubrovnik	Name-Location-GPE-City	Dubrovnik	entity_5063144
22	Hvar	Name-Location-Geological_Region_Island	Hvar	entity_8789187
29	Hanibal Lucić	Name-Person-Name_Person	Hanibal_Lucić	entity_11891748
30	Petar Hektorović	Name-Person-Name_Person	Petar_Hektorović	entity_2252993
31	Mavro Vetranović	Name-Person-Name_Person	Mavro_Vetranović	entity_6012164
32	Marin Držić	Name-Person-Name_Person	Marin_Držić	entity_12074011
34	Stjepan Konzul Istranin	Name-Person-Name_Person	Stjepan_Konzul_Istranin	entity_8761746
45	Ljudevit Gaj	Name-Person-Name_Person	Ljudevit_Gaj	entity_10634465
46	Zagreb	Name-Location-GPE-City	Zagreb	entity_12194725
48	Ivan Mažuranić	Name-Person-Name_Person	Ivan_Mažuranić	entity_6876479
49	Petar Preradović	Name-Person-Name_Person	Petar_Preradović	entity_12880809
50	Vjekoslav Babukić	Name-Person-Name_Person	Vjekoslav_Babukić	entity_1472411
51	Antun Mažuranić	Name-Person-Name_Person	Antun_Mažuranić	entity_7866459
54	Bogoslav Šulek	Name-Person-Name_Person	Bogoslav_Šulek	entity_10282607
57	Ante Kuzmanić	Name-Person-Name_Person	Ante_Kuzmanić	entity_13321674
58	Ivan Broz	Name-Person-Name_Person	Ivan_Broz	entity_7288123
60	Tomislav Maretić	Name-Person-Name_Person	Tomislav_Maretić	entity_12197757
62	Tin Ujević	Name-Person-Name_Person	Tin_Ujević	entity_5992994
66	London	Name-Location-GPE-City	London	entity_1296070
67	Stipe Šuvar	Name-Person-Name_Person	Stipe_Šuvar	entity_9496699
76	Save	Name-Location-Geological_Region-River	Save	entity_717646
83	Trogir	Name-Location-GPE-City	Trogir	entity_11024422
84	Stobreč	Name-Location-GPE-GPE_Other	Stobreč	entity_10599837
87	Salona	Name-Location-GPE-City	Salona	entity_539171
88	Narona	Name-Location-GPE-City	Narona	entity_13382477
89	Jadera	Name-Natural_Object-Living_Thing-Insect	Jadera	entity_17321867
96	Solin	Name-Location-GPE-City	Solin	entity_10678714
97	Zadar	Name-Location-GPE-City	Zadar	entity_13727956
98	Petar Berislavić	Name-Person-Name_Person	Petar_Berislavić	entity_10382215
99	Nikola Jurišić	Name-Person-Name_Person	Nikola_Jurišić	entity_1019046
100	Nikola Šubić Zrinski	Name-Person-Name_Person	Nikola_Šubić_Zrinski	entity_8178833
101	Bihać	Name-Location-GPE-City	Bihać	entity_2487018
102	Karlovac	Name-Location-GPE-City	Karlovac	entity_8481468
104	Osijek	Name-Location-GPE-City	Osijek	entity_8041102
106	Ivan Gundulić	Name-Person-Name_Person	Ivan_Gundulić	entity_1678044
107	Luka Ibrišimović	Name-Person-Name_Person	Luka_Ibrišimović	entity_11856309
109	Nijemci	Name-Location-GPE-City	Nijemci	entity_5021493
110	Mađari	Name-Location-GPE-City	Mađari	entity_3460190
111	Maksimilijan Vrhovac	Name-Person-Name_Person	Maksimilijan_Vrhovac	entity_6218274
112	Janko Drašković	Name-Person-Name_Person	Janko_Drašković	entity_1517921
116	Ivan Kukuljević Sakcinski	Name-Person-Name_Person	Ivan_Kukuljević_Sakcinski	entity_5726359
117	Josip Jelačić	Name-Person-Name_Person	Josip_Jelačić	entity_672392
118	Rijeka	Name-Location-GPE-City	Rijeka	entity_369517
120	Ante Starčević	Name-Person-Name_Person	Ante_Starčević	entity_5872754
121	Juraj Dobrila	Name-Person-Name_Person	Juraj_Dobrila	entity_12214552
125	Cres	Name-Location-Geological_Region_Island	Cres	entity_4230963
126	Lošinj	Name-Location-Geological_Region_Island	Lošinj	entity_5050291
127	Lastovo	Name-Location-Geological_Region_Island	Lastovo	entity_6766098
128	Šibenik	Name-Location-GPE-City	Šibenik	entity_5263004
129	Wehrmacht	Name-Organization-Political_Organization-Military	Wehrmacht	entity_2195142
131	Matica hrvatska	Name-Organization-Organization_Other	Matica_hrvatska	entity_13735879
132	Miko Tripalo	Name-Person-Name_Person	Miko_Tripalo	entity_2366803
135	Josip Broz Tito	Name-Person-Name_Person	Josip_Broz_Tito	entity_11978919
138	Ivica Račan	Name-Person-Name_Person	Ivica_Račan	entity_11157984
139	Stjepan Mesić	Name-Person-Name_Person	Stjepan_Mesić	entity_1053110
141	NATO	Name-Organization-Political_Organization-Political_Party	NATO	entity_604274
