	uner-class	uner-class
Name-Person-Name_Person	0.39986358094644747	74451
Name-Location-GPE-GPE_Other	0.05817681842838805	10832
Name-Organization-Corporation-Company	0.056033857705259656	10433
Name-Organization-Organization_Other	0.03139786563260308	5846
Name-Location-GPE-City	0.027922939347229458	5199
Name-Product-Art-Music	0.025414762260259627	4732
Name-Facility-GOE-School	0.02424929239329506	4515
Name-Product-Art-Movie	0.024233179906654995	4512
Name-Organization-Show_Organization	0.023073080868570447	4296
Name-Facility-GOE-GOE_Other	0.022041881723606403	4104
Name-Product-Art-Book	0.02146183220456413	3996
Name-Product-Art-Broadcast_Program	0.018685113673593247	3479
Name-Event-Occasion-MilitaryConflict	0.01763780204198914	3284
Name-Product-Product_Other	0.01666568201470533	3103
Name-Location-Location_Other	0.015006095890778825	2794
Name-Event-Occasion-Game	0.013222980702611834	2462
Name-Organization-Sports_Organization-Pro_Sports_Organization	0.011729890273965982	2184
Name-Organization-Political_Organization-Military	0.009876954310358718	1839
Name-Facility-Facility_Other	0.009205600700356085	1714
Name-Location-GPE-Country	0.008034760004511496	1496
Name-Facility-GOE-Station	0.007137831581547981	1329
Name-Location-Geological_Region-Geological_Region-Geological_Region_Other	0.006971335886267327	1298
Name-Facility-Line-Road	0.006917627597467117	1288
Name-Product-Printing-Printing_Other	0.006767244388826528	1260
Name-Location-Geological_Region-River	0.006767244388826528	1260
Name-Organization-Political_Organization-Political_Party	0.006520186260345559	1214
Name-Organization-Political_Organization-Government	0.006283869789624633	1170
Name-Facility-GOE-Airport	0.006214049014184359	1157
Name-Event-Occasion_Other	0.00606366580554377	1129
Name-Facility-GOE-Museum	0.005977732543463433	1113
Name-Facility-GOE-Sports_Facility	0.005322491420100864	991
Name-Product-Award	0.005241928986900548	976
Name-Location-Geological_Region_Island	0.005123770751540085	954
Name-Place-Location_Other	0.004882083451939138	909
Name-Product-Printing-Newspaper	0.004447046312657433	828
Name-Product-Language-National_Language	0.004318146419536927	804
Name-Person-Other	0.0039153342535353484	729
Name-Product-Printing-Magazine	0.003426588825453432	638
Name-Location-Geological_Region-Lake	0.0032923181034529058	613
